DATA;CODNEG;STATUS_POSITIVO;ano;mes;dia_do_ano;dia_do_mes;dia_da_semana;semana_do_ano;trimestre;bimestre;semestre;quinzena;semana_do_mes;dia_do_trimestre;primeiro_dia_da_semana;ultimo_dia_da_semana;primeiro_dia_do_mes;ultimo_dia_do_mes;primeiro_dia_do_trimestre;ultimo_dia_do_trimestre;primeiro_dia_do_ano;ultimo_dia_do_ano
20181025;ALUP3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ALUP3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ALUP4;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ALUP4F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ALZR11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;AMAR3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;AMAR3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;AMAR3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;AMZO34;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ANIM3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ANIM3F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ARZZ3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ARZZ3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ATOM3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ATOM3F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;ATTB34;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;AZEV3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;AZEV4;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;AZEV4F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;AZUL4;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;AZUL4F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;B3SA3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;B3SA3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;B3SA3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;B3SA3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BAHI3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BAUH4;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BAZA3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBAS3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBAS3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBAS3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBAS3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBAS3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBAS3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBAS3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASA50;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASK29;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASK31;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASK38;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASK39;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASK44;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASK46;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASK52;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASK54;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASL35;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBASW31;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC4;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC4F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC4T;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC4T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC4T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC4T;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC4T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC4T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDC4T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDCK33;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDCW32;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBDCW64;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBFI11B;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBPO11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBRC11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBRK3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBRK3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBRK3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBSD11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBSE3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBSE3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BBVJ11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BCFF11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BCIA11;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BCRI11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEEF1;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEEF1F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEEF3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEEF3F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEEF3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEEF3T;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEES3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEES3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEES4;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BEES4F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BERK34;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BIDI4;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BIDI4F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BIDI4T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BIDI4T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BIOM3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BIOM3F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BKBR3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BKBR3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BMEB4;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BMIN4F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BMLC11B;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BNFS11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BOAC34;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BOBR4;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BOVA11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BOVA11F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BOVAL90;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BOVV11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BOVVX70;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BPAC11;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BPAC11F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BPAC3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BPAC5;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BPAN4;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BPAN4F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BPFF11;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BPHA3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BPHA3F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRAP3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRAP3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRAP4;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRAP4F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRAP4T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRAP4T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRAX11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRCR11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRDT3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRDT3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRDT3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRFS3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRFS3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRFS3T;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRFS3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRFS3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRFS3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRFSK22;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRFSK23;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRIN3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRIN3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRIN3T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRIV3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRIV4;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRKM3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRKM3F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRKM5;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRKM5F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRKM5T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRKM5T;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRML3;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRML3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRMLK11;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRPR3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRPR3F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRSR3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRSR3F;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRSR6;1;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BRSR6F;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
20181025;BSEV3;0;2018;10;298;25;5;43;4;5;4;2;4;25;20181022;20181028;20181001;20181031;20181001;20181231;20180101;20181231
