acao;tecnica;validacao_tamanho_base;validacao_y_pred_quant_0;validacao_y_pred_quant_1;validacao_y_true_quant_0;validacao_y_true_quant_1;validacao_accuracy;validacao_f1_score;validacao_log_loss;validacao_precision;validacao_recall;validacao_roc_auc_score
AALR3;PassiveAggressiveClassifier;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;LinearDiscriminantAnalysis;15;13;2;10;5;0.5333333333333333;0.0;16.118202263949012;0.0;0.0;0.4
AALR3;BaggingClassifier;15;12;3;10;5;0.8666666666666667;0.7499999999999999;4.605170185988091;1.0;0.6;0.8
AALR3;RidgeClassifierCV;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;KNeighborsClassifier;15;13;2;10;5;0.6666666666666666;0.28571428571428575;11.512978771465574;0.5;0.2;0.55
AALR3;Perceptron;15;9;6;10;5;0.4;0.1818181818181818;20.723532369423143;0.16666666666666666;0.2;0.35
AALR3;SGDClassifier;15;1;14;10;5;0.26666666666666666;0.4210526315789473;25.328969087887966;0.2857142857142857;0.8;0.4
AALR3;RidgeClassifier;15;11;4;10;5;0.5333333333333333;0.22222222222222224;16.118255570444358;0.25;0.2;0.44999999999999996
AALR3;LabelSpreading;15;11;4;10;5;0.8;0.6666666666666665;6.907808585477483;0.75;0.6;0.7500000000000001
AALR3;GaussianProcessClassifier;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;GradientBoostingClassifier;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;LogisticRegression;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;AdaBoostClassifier;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;RandomForestClassifier;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;LinearSVC;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;CalibratedClassifierCV;15;9;6;10;5;0.5333333333333333;0.3636363636363636;16.118308876939704;0.3333333333333333;0.4;0.5
AALR3;ExtraTreeClassifier;15;11;4;10;5;0.5333333333333333;0.22222222222222224;16.118255570444358;0.25;0.2;0.44999999999999996
AALR3;QuadraticDiscriminantAnalysis;15;11;4;10;5;0.5333333333333333;0.22222222222222224;16.118255570444358;0.25;0.2;0.44999999999999996
AALR3;LabelPropagation;15;10;5;10;5;0.6;0.4000000000000001;13.815670477450311;0.4;0.4;0.5499999999999999
AALR3;RadiusNeighborsClassifier;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;DecisionTreeClassifier;15;8;7;10;5;0.4666666666666667;0.3333333333333333;18.420947276429096;0.2857142857142857;0.4;0.44999999999999996
AALR3;ExtraTreesClassifier;15;13;2;10;5;0.5333333333333333;0.0;16.118202263949012;0.0;0.0;0.4
AALR3;MLPClassifier;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3;BernoulliNB;15;15;0;10;5;0.6666666666666666;0.0;11.512925464970229;0.0;0.0;0.5
AALR3F;MultinomialNB;15;15;0;7;8;0.4666666666666667;0.0;18.420680743952364;0.0;0.0;0.5
AALR3F;GradientBoostingClassifier;15;0;15;7;8;0.5333333333333333;0.6956521739130436;16.11846879642574;0.5333333333333333;1.0;0.5
AALR3F;PassiveAggressiveClassifier;15;0;15;7;8;0.5333333333333333;0.6956521739130436;16.11846879642574;0.5333333333333333;1.0;0.5
AALR3F;MLPClassifier;15;15;0;7;8;0.4666666666666667;0.0;18.420680743952364;0.0;0.0;0.5
AALR3F;DecisionTreeClassifier;15;0;15;7;8;0.5333333333333333;0.6956521739130436;16.11846879642574;0.5333333333333333;1.0;0.5
